corpus,system,qid,category,answerable,gen,ret,overall,llm_calls,slm_calls,gen_cost,expected_pages,retrieved_top6_pages,page_hit_top6
bash,simple,bash-001,concept,True,3.0,2.75,2.875,1,0,0.0085,[82],"[16, 80, 80, 66, 16, 103]",0
bash,simple,bash-002,lookup,True,2.0,2.75,2.375,1,0,0.00536,[54],"[54, 54, 54, 55, 125, 16]",1
bash,simple,bash-003,lookup,True,3.2,1.25,2.225,1,0,0.00612,[30],"[16, 80, 54, 16, 16, 26]",0
bash,simple,bash-004,lookup,True,5.0,5.0,5.0,1,0,0.0063,[103],"[103, 104, 31, 30, 30, 29]",1
bash,simple,bash-005,lookup,True,5.0,5.0,5.0,1,0,0.00589,[116],"[116, 116, 117, 29, 70, 118]",1
bash,simple,bash-006,concept,True,3.6,2.25,2.925,1,0,0.00588,[12],"[12, 13, 12, 177, 13, 43]",1
bash,simple,bash-007,concept,True,4.2,4.5,4.35,1,0,0.00831,[84],"[84, 84, 195, 85, 107, 186]",1
bash,simple,bash-008,concept,True,3.0,4.25,3.625,1,0,0.01046,[65],"[196, 126, 196, 65, 66, 127]",1
bash,simple,bash-009,lookup,True,4.0,4.25,4.125,1,0,0.00731,[117],"[38, 35, 39, 41, 117, 30]",1
bash,simple,bash-010,lookup,True,5.0,5.0,5.0,1,0,0.01151,[35],"[37, 38, 35, 39, 36, 38]",1
bash,simple,bash-011,concept,True,4.4,3.5,3.95,1,0,0.00901,[34],"[35, 34, 39, 29, 38, 179]",1
bash,simple,bash-012,lookup,True,2.2,3.5,2.85,1,0,0.00723,[42],"[42, 42, 43, 179, 17, 15]",1
bash,simple,bash-013,concept,True,5.0,5.0,5.0,1,0,0.00865,[43],"[44, 42, 42, 43, 39, 193]",1
bash,simple,bash-014,concept,True,5.0,5.0,5.0,1,0,0.00854,[27],"[27, 27, 73, 26, 194, 195]",1
bash,simple,bash-016,concept,True,1.4,1.5,1.45,1,0,0.0071,[50],"[50, 50, 4, 41, 155, 35]",1
bash,simple,bash-015,lookup,True,3.6,3.5,3.55,1,0,0.00678,[76],"[77, 76, 195, 145, 105, 103]",1
bash,simple,bash-018,concept,True,4.2,4.5,4.35,1,0,0.00775,[31],"[31, 32, 31, 32, 33, 31]",1
bash,simple,bash-017,lookup,True,3.6,4.5,4.05,1,0,0.009,[49],"[49, 49, 48, 48, 51, 16]",1
bash,simple,bash-019,concept,True,5.0,5.0,5.0,1,0,0.00973,[33],"[32, 33, 32, 32, 31, 123]",1
bash,simple,bash-020,concept,True,4.0,4.5,4.25,1,0,0.01051,[61],"[61, 62, 61, 84, 92, 84]",1
bash,simple,bash-021,concept,True,3.0,3.0,3.0,1,0,0.00917,[92],"[44, 193, 95, 209, 142, 144]",0
bash,simple,bash-022,concept,True,2.4,1.75,2.075,1,0,0.00875,[80],"[80, 83, 167, 206, 140, 53]",1
bash,simple,bash-023,lookup,True,2.6,3.75,3.175,1,0,0.00826,[18],"[18, 18, 114, 116, 192, 192]",1
bash,simple,bash-024,concept,True,1.6,1.0,1.3,1,0,0.00903,[20],"[17, 20, 117, 17, 3, 168]",1
bash,simple,bash-026,concept,True,5.0,5.0,5.0,1,0,0.01059,[134],"[134, 55, 196, 25, 134, 7]",1
bash,simple,bash-027,lookup,True,5.0,5.0,5.0,1,0,0.00659,[92],"[59, 172, 171, 85, 125, 92]",1
bash,simple,bash-028,concept,True,2.8,4.5,3.65,1,0,0.00752,[66],"[66, 196, 72, 66, 79, 83]",1
